pairing_id,covered_legs,total_cost,duty_itineraries
duty_seed_512,[3504619350],285.0,['DUS ➔ BHX']
duty_seed_515,[3504638694],285.0,['DUS ➔ BHX']
duty_seed_516,[3504638550],285.0,['HAM ➔ ZRH']
duty_seed_517,[3504638156],285.0,['MXP ➔ CGN']
duty_seed_519,[3504638580],285.0,['BER ➔ GOT']
duty_seed_521,[3504638696],285.0,['DUS ➔ BHX']
duty_seed_522,[3504638275],285.0,['STR ➔ BUD']
duty_seed_524,[3504658147],285.0,['DUS ➔ BHX']
duty_seed_525,"[3504658125, 3504658091]",285.0,['DUS ➔ BER ➔ DUS']
duty_seed_526,[3504658065],285.0,['HAM ➔ ZRH']
duty_seed_528,[3504658149],285.0,['DUS ➔ BHX']
duty_seed_534,[3504676832],285.0,['DUS ➔ BHX']
duty_seed_535,[3504676745],285.0,['HAM ➔ ZRH']
duty_seed_537,[3504676834],285.0,['DUS ➔ BHX']
duty_seed_543,[3505309619],285.0,['DUS ➔ BHX']
duty_seed_544,[3505309552],285.0,['HAM ➔ ZRH']
duty_seed_546,[3505309554],285.0,['HAM ➔ ZRH']
duty_seed_548,[3505309621],285.0,['DUS ➔ BHX']
duty_seed_551,[3505310324],285.0,['DUS ➔ BHX']
duty_seed_552,[3505310255],285.0,['HAM ➔ ZRH']
duty_seed_555,[3505310257],285.0,['HAM ➔ ZRH']
duty_seed_556,[3505310326],285.0,['DUS ➔ BHX']
duty_seed_559,[3505310854],285.0,['STR ➔ BUD']
duty_seed_561,"[3504619290, 3504619291]",287.5,['HAM ➔ MXP ➔ HAM']
duty_seed_562,"[3504618800, 3504618801]",287.5,['CGN ➔ EDI ➔ CGN']
duty_seed_563,"[3504638712, 3504638713]",287.5,['DUS ➔ NCE ➔ DUS']
duty_seed_564,"[3504638100, 3504638101]",287.5,['CGN ➔ EDI ➔ CGN']
duty_seed_565,"[3504638796, 3504638799]",287.5,['DUS ➔ VIE ➔ DUS']
duty_seed_566,"[3504638564, 3504638565]",287.5,['HAM ➔ MXP ➔ HAM']
duty_seed_567,"[3504658265, 3504658266]",287.5,['DUS ➔ FLR ➔ DUS']
duty_seed_568,"[3504658163, 3504658164]",287.5,['DUS ➔ NCE ➔ DUS']
duty_seed_569,"[3504658239, 3504658242]",287.5,['DUS ➔ VIE ➔ DUS']
duty_seed_570,"[3504658073, 3504658074]",287.5,['HAM ➔ MXP ➔ HAM']
duty_seed_571,"[3504676933, 3504676936]",287.5,['DUS ➔ VIE ➔ DUS']
duty_seed_572,"[3504676755, 3504676756]",287.5,['HAM ➔ MXP ➔ HAM']
duty_seed_573,"[3505309562, 3505309563]",287.5,['HAM ➔ MXP ➔ HAM']
duty_seed_574,"[3505310265, 3505310266]",287.5,['HAM ➔ MXP ➔ HAM']
duty_seed_575,"[3505310716, 3505310718]",287.5,['CGN ➔ EDI ➔ CGN']
duty_seed_576,"[3505310798, 3505310799]",287.5,['CGN ➔ SPU ➔ CGN']
duty_seed_578,[3504618863],290.0,['CGN ➔ VRN']
duty_seed_579,[3504619467],290.0,['BGY ➔ DUS']
